date,dji,eur,10yr_R,eu_money,us_money,ip,coal,nok,usd-nok,wti,ip_yoy,dji_yoy,eu_money_yoy,us_money_yoy
Jan-11,"11,891.93",1.3686,3.374,1113,2047.9,93.3944,129.4,5.777,0.173100225,92.19,0.047126899,0.181239713,-0.036363636,0.026516291
Feb-11,"12,226.34",1.3802,3.422,1075,2211.6,92.9930,130.95,5.5991,0.178600132,96.97,0.03906044,0.184119335,-0.07566638,0.045574887
Mar-11,"12,319.73",1.4165,3.47,1061,2395.3,93.9820,123.2,5.5355,0.180652154,106.72,0.042600611,0.134765576,-0.103127642,0.15180804
Apr-11,"12,810.54",1.4799,3.29,1058,2496.6,93.6525,122.8,5.2466,0.190599626,113.93,0.035302142,0.163683698,-0.122719735,0.239376489
May-11,"12,569.79",1.4394,3.059,1066,2567.2,93.7775,120.95,5.378,0.18594273,102.7,0.022633094,0.240036383,-0.131214344,0.275754112
Jun-11,"12,414.34",1.4504,3.16,1064,2648.5,94.0467,121.3,5.3827,0.18578037,95.42,0.023362427,0.270136546,-0.186544343,0.322662805
Jul-11,"12,143.24",1.4395,2.793,1087,2684.8,94.4931,121.05,5.3704,0.186205869,95.7,0.02429102,0.160262719,-0.135930048,0.346236775
Aug-11,"11,613.53",1.4377,2.234,1122,2657.7,95.0969,122.85,5.36,0.186567164,88.81,0.027076387,0.159646001,-0.008833922,0.333049105
Sep-11,"10,913.38",1.3384,1.917,1185,2637.7,95.0281,123.2,5.8625,0.170575693,79.2,0.023387726,0.011617484,0.062780269,0.344941872
Oct-11,"11,955.01",1.3856,2.116,1232,2637.8,95.6924,118.5,5.5509,0.180150967,93.19,0.033353959,0.075236835,0.124087591,0.344650048
Nov-11,"12,045.68",1.3441,2.072,1275,2605.4,95.6913,111.6,5.7718,0.173256177,100.36,0.032521448,0.094462849,0.19047619,0.32046019
Dec-11,"12,217.56",1.2945,1.876,1335,2619.6,96.1938,112.25,5.9766,0.167319212,98.83,0.027875164,0.055283908,0.24417521,0.298760535
Jan-12,"12,632.91",1.3078,1.795,1495,2640.8,96.7790,117.45,5.8658,0.17047973,98.48,0.03623986,0.062309482,0.343216532,0.28951609
Feb-12,"12,952.07",1.3324,1.974,1467,2694.4,97.0959,112.1,5.5864,0.179006158,107.07,0.044120525,0.059357911,0.364651163,0.218303491
Mar-12,"13,212.04",1.3343,2.214,1599,2655.2,96.5919,107,5.691,0.175716043,103.02,0.027770211,0.072429347,0.507068803,0.108504154
Apr-12,"13,213.63",1.324,1.919,1752,2639.8,97.2942,100.75,5.721,0.174794616,104.87,0.038885241,0.031465496,0.655954631,0.057358007
May-12,"12,393.45",1.2356,1.563,1755,2616.5,97.4853,91.45,6.117,0.163478829,86.53,0.039538269,-0.014028874,0.646341463,0.019203802
Jun-12,"12,880.09",1.2658,1.643,1762,2618.8,97.4959,88.4,5.953,0.16798253,84.96,0.036675396,0.037517097,0.656015038,-0.011213895
Jul-12,"13,008.68",1.2303,1.47,1775,2647.8,97.6922,90.15,6.0242,0.165997145,88.06,0.033855382,0.071269282,0.632934683,-0.013781287
Aug-12,"13,090.84",1.2575,1.548,1751,2650.7,97.3061,91.75,5.7973,0.172494092,96.47,0.023231041,0.12720594,0.560606061,-0.002633856
Sep-12,"13,437.13",1.2858,1.633,1766,2594.9,97.2383,89.5,5.72,0.174825175,92.19,0.023258384,0.231252829,0.490295359,-0.016226258
Oct-12,"13,096.46",1.2958,1.694,1736,2611.8,97.5425,83.6,5.7003,0.175429363,86.24,0.019333824,0.095478799,0.409090909,-0.009856699
Nov-12,"13,025.58",1.2984,1.616,1675,2646.8,97.9340,85.9,5.6651,0.176519391,88.91,0.023436822,0.081348666,0.31372549,0.015890074
Dec-12,"13,104.14",1.3194,1.757,1631,2675.9,98.1984,93.75,5.563,0.179759123,91.82,0.020839181,0.072566044,0.221722846,0.021491831
Jan-13,"13,860.58",1.3578,1.985,1631,2741.7,98.2029,95.2,5.4652,0.18297592,97.49,0.014712903,0.097180301,0.0909699,0.038208119
Feb-13,"14,054.49",1.3056,1.881,1534,2845.3,98.6733,94.25,5.7348,0.174373997,92.05,0.016245794,0.085115352,0.045671438,0.056005048
Mar-13,"14,578.54",1.2818,1.852,1429,2935,99.0788,90.65,5.8443,0.17110689,97.23,0.025746465,0.103428388,-0.106316448,0.105378126
Apr-13,"14,839.80",1.3166,1.673,1369,3011.7,98.9658,87,5.7676,0.173382343,93.46,0.01718088,0.12306762,-0.218607306,0.140881885
May-13,"15,115.57",1.2995,2.132,1334,3116.9,99.0567,87.7,5.8671,0.170441956,91.97,0.016119353,0.219641827,-0.23988604,0.19124785
